step,time,space
0,0.00675948,0.99
1,0.00886042,0.99
2,0.00835751,0.99
3,0.0074341,0.99
4,3.59166,1205.05
5,16.7995,5931.26
6,47.1855,17316.5
7,97.6057,37048.8
8,122.162,47365.6
9,171.24,68434.1
10,225.892,93893.8
11,322.724,137236
12,345.311,150991
13,401.022,180547
14,427.488,199144
15,440.091,202025
16,431.514,201035
17,467.37,224605
18,542.739,268377
19,533.101,270958
20,534.371,277432
21,507.593,271773
22,489.092,267073
23,466.867,260825
24,469.642,270678
25,434.649,257029
26,421.247,257911
27,383.438,237868
28,372.052,239029
29,340.817,223708
30,304.676,204582
31,274.478,188501
32,259.223,184164
33,240.409,175023
34,205.538,154787
35,173.24,134018
36,144.275,114664
37,128.001,105126
38,97.6403,82676.1
39,87.2571,76366.5
40,19.0161,60057.9
41,17.6864,55995.1
42,12.7709,40313
43,10.4671,31698.3
44,7.47979,22587
45,5.64393,16518.3
46,4.01365,11755.9
47,2.95019,8252.97
48,171.958,248322
49,44.5809,64204.8
50,9.1008,13159.9
51,2.76001,3959.65
52,0.72061,1052.07
53,0.197487,285.1
54,0.0618159,89.41
55,0.0176569,25.72
56,0.00629379,9.46
57,0.00233863,3.46
58,0.0010991,1.75
59,0.00049234,1
